"","iso3c","country","date","gdp_per_capita","teenage_mothers","total_fertility","prevalence_undernourishment","gini_index","prenatal_care","tot_pop","maternal_mortality","gdp_per_capita_one_year_before","gdp_per_capita_four_year_average","teenage_mothers_one_year_before","teenage_mothers_four_year_average","total_fertility_one_year_before","total_fertility_four_year_average","prevalence_undernourishment_one_year_before","prevalence_undernourishment_four_year_average","gini_index_one_year_before","gini_index_four_year_average","prenatal_care_one_year_before","prenatal_care_four_year_average","tot_pop_one_year_before","tot_pop_four_year_average"
"106","KOR","Korea, Rep.",2015,28737.4391706499,NA,1.239,2.5,NA,NA,51014947,6,20029.759828881,5990.76657951037,NA,NA,1.643,2.73075,NA,7.86666666666667,NA,29,NA,NA,47790,5384730
"107","KWT","Kuwait",2015,29315.1931019553,NA,2.16,2.5,NA,NA,3908743,7,28737.4391706499,12894.8556981787,NA,NA,1.239,2.2405,2.5,6.76666666666667,NA,NA,NA,NA,51014947,16649241.75
"108","LAO","Lao PDR",2015,2125.4589005996,NA,2.766,6.7,NA,NA,6787419,184,29315.1931019553,19930.9682697209,NA,NA,2.16,2.143,2.5,5.3,NA,NA,NA,NA,3908743,13772046.75
"109","LBN","Lebanon",2015,7802.75136769776,NA,2.178,NA,NA,NA,6398940,19,2125.4589005996,20051.9627505215,NA,NA,2.766,1.952,6.7,3.9,NA,NA,NA,NA,6787419,15439724.75
"110","LBR","Liberia",2015,699.662946853965,NA,4.523,35.9,NA,NA,4612329,686,7802.75136769776,16995.2106352256,NA,NA,2.178,2.08575,NA,3.9,NA,NA,NA,NA,6398940,17027512.25
"111","LBY","Libya",2015,7867.51493141091,NA,2.711,6.1,NA,NA,6192235,71,699.662946853965,9985.76657927666,NA,NA,4.523,2.90675,35.9,15.0333333333333,NA,NA,NA,NA,4612329,5426857.75
"112","LCA","St. Lucia",2015,10292.7335300088,NA,1.473,NA,43.7,NA,175623,80,7867.51493141091,4623.84703664056,NA,NA,2.711,3.0445,6.1,16.2333333333333,NA,NA,NA,NA,6192235,5997730.75
"113","LIE","Liechtenstein",2015,167809.269874833,NA,1.4,NA,NA,NA,37355,NA,10292.7335300088,6665.66569399286,NA,NA,1.473,2.72125,NA,21,43.7,43.7,NA,NA,175623,4344781.75
"114","LKA","Sri Lanka",2015,3990.35311739446,NA,2.091,9.1,NA,NA,21336697,30,167809.269874833,46667.2953207767,NA,NA,1.4,2.52675,NA,21,NA,43.7,NA,NA,37355,2754385.5
"115","LSO","Lesotho",2015,1113.83683453612,NA,3.264,31.9,NA,NA,2118521,728,3990.35311739446,47489.9678634118,NA,NA,2.091,1.91875,9.1,7.6,NA,43.7,NA,NA,21336697,6935477.5
"116","LTU","Lithuania",2015,14263.9645773495,NA,1.7,2.5,37.4,NA,2904910,8,1113.83683453612,45801.5483391931,NA,NA,3.264,2.057,31.9,20.5,NA,43.7,NA,NA,2118521,5917049
"117","LUX","Luxembourg",2015,105462.012584423,NA,1.47,2.5,32.9,NA,569604,7,14263.9645773495,46794.3561010283,NA,NA,1.7,2.11375,2.5,14.5,37.4,37.4,NA,NA,2904910,6599370.75
"118","LVA","Latvia",2015,13786.4567953114,NA,1.7,2.5,34.2,NA,1977527,22,105462.012584423,31207.5417784258,NA,NA,1.47,2.13125,2.5,11.5,32.9,35.15,NA,NA,569604,6732433
"119","MAC","Macao SAR, China",2015,73220.6355551661,NA,1.196,5.8,NA,NA,615239,NA,13786.4567953114,33656.567697905,NA,NA,1.7,2.0335,2.5,9.85,34.2,34.8333333333333,NA,NA,1977527,1892640.5
"120","MAF","St. Martin (French part)",2015,NA,NA,2.558,NA,NA,NA,35020,NA,73220.6355551661,51683.2673780625,NA,NA,1.196,1.5165,5.8,3.325,NA,34.8333333333333,NA,NA,615239,1516820
